ComboID,Sugar,Ice,Size,Shots,Notes
207,50%,50%,Medium,2,test
208,25%,150%,Medium,0,test
209,50%,150%,Medium,2,test
210,150%,100%,Medium,2,test
211,25%,100%,Large,1,test
212,0%,150%,Medium,3,test
213,200%,100%,Large,5,test
214,50%,50%,Small,2,test
215,25%,150%,Large,3,test
216,150%,200%,Small,0,test
217,100%,200%,Medium,2,test
218,50%,25%,Large,1,test
219,200%,25%,Medium,0,test
220,25%,100%,Large,4,test
221,50%,25%,Large,0,test
222,100%,150%,Small,2,test
223,50%,50%,Large,4,test
224,100%,100%,Medium,2,test
225,25%,25%,Medium,4,test
226,150%,50%,Large,1,test
227,0%,100%,Medium,3,test
228,100%,200%,Medium,3,test
229,50%,25%,Large,5,test
230,150%,25%,Medium,4,test
231,50%,25%,Small,5,test
232,50%,50%,Medium,4,test
233,25%,25%,Medium,3,test
234,150%,25%,Medium,2,test
235,100%,150%,Medium,4,test
236,200%,25%,Large,5,test
237,25%,50%,Small,4,test
238,50%,200%,Medium,3,test
239,150%,150%,Small,0,test
240,150%,0%,Large,1,test
241,200%,25%,Small,4,test
242,0%,150%,Large,1,test
243,150%,200%,Small,4,test
244,150%,100%,Small,3,test
245,200%,200%,Large,1,test
246,100%,200%,Small,0,test
247,200%,25%,Small,5,test
248,0%,200%,Small,1,test
249,200%,25%,Large,5,test
250,50%,0%,Medium,4,test
251,100%,200%,Large,5,test
252,0%,0%,Medium,1,test
253,0%,50%,Large,3,test
254,50%,0%,Small,1,test
255,50%,50%,Large,0,test
256,100%,200%,Medium,2,test
257,0%,50%,Large,1,test
258,25%,100%,Medium,3,test
259,200%,100%,Medium,3,test
260,100%,0%,Small,0,test
261,0%,150%,Small,2,test
262,0%,50%,Medium,5,test
263,25%,200%,Large,1,test
264,25%,150%,Small,5,test
265,50%,200%,Small,0,test
266,150%,50%,Small,3,test
267,25%,200%,Small,0,test
268,25%,200%,Large,3,test
269,50%,100%,Large,4,test
270,150%,25%,Small,5,test
271,25%,0%,Small,3,test
272,0%,200%,Large,1,test
273,200%,50%,Medium,2,test
274,150%,50%,Large,5,test
275,0%,25%,Small,3,test
276,100%,150%,Large,2,test
277,200%,50%,Small,2,test
278,25%,100%,Medium,5,test
279,50%,150%,Small,3,test
280,150%,50%,Large,4,test
281,0%,25%,Medium,1,test
282,50%,0%,Medium,4,test
283,50%,150%,Medium,0,test
284,200%,25%,Small,3,test
285,200%,150%,Medium,0,test
286,150%,25%,Small,5,test
287,50%,50%,Large,3,test
288,100%,150%,Large,0,test
289,150%,100%,Large,3,test
290,25%,50%,Large,3,test
291,0%,25%,Small,1,test
292,150%,100%,Small,2,test
293,0%,100%,Large,3,test
294,150%,200%,Small,5,test
295,50%,100%,Large,3,test
296,150%,0%,Small,4,test
297,150%,200%,Small,5,test
298,0%,100%,Small,4,test
299,0%,100%,Large,1,test
300,25%,200%,Large,0,test
301,200%,200%,Medium,2,test
302,25%,100%,Medium,3,test
303,200%,150%,Medium,2,test
304,50%,200%,Large,0,test
305,25%,150%,Large,4,test
306,50%,0%,Medium,0,test
307,200%,100%,Large,2,test
308,200%,25%,Medium,2,test
309,100%,150%,Medium,5,test
310,100%,25%,Small,5,test
311,50%,25%,Medium,1,test
312,150%,50%,Small,5,test
313,0%,200%,Large,1,test
314,200%,25%,Medium,1,test
315,0%,200%,Large,4,test
316,0%,25%,Large,4,test
317,100%,0%,Small,5,test
318,25%,0%,Large,5,test
319,50%,200%,Small,5,test
320,50%,50%,Medium,0,test
321,200%,50%,Large,1,test
322,150%,25%,Small,0,test
323,200%,25%,Medium,5,test
324,0%,200%,Large,1,test
325,50%,200%,Small,1,test
326,150%,50%,Large,3,test
327,50%,0%,Medium,3,test
328,0%,50%,Small,2,test
329,50%,25%,Small,3,test
330,50%,200%,Large,2,test
331,0%,150%,Large,3,test
332,50%,50%,Medium,2,test
333,0%,0%,Medium,1,test
334,100%,25%,Small,1,test
335,0%,50%,Small,0,test
336,100%,100%,Medium,3,test
337,25%,0%,Small,5,test
338,50%,100%,Medium,1,test
339,50%,100%,Medium,5,test
340,150%,0%,Medium,0,test
341,100%,25%,Small,2,test
342,0%,0%,Large,5,test
343,50%,200%,Small,5,test
344,200%,100%,Medium,4,test
345,150%,200%,Large,3,test
346,150%,100%,Medium,0,test
347,50%,200%,Small,4,test
348,50%,100%,Medium,0,test
349,150%,25%,Small,0,test
350,25%,25%,Small,2,test
351,50%,100%,Medium,5,test
352,150%,200%,Small,0,test
353,25%,25%,Large,1,test
354,200%,0%,Large,5,test
355,200%,25%,Large,4,test
356,100%,200%,Small,0,test
357,50%,25%,Medium,4,test
358,0%,150%,Medium,1,test
359,25%,150%,Medium,5,test
360,0%,150%,Small,2,test
361,0%,25%,Medium,0,test
362,200%,200%,Small,0,test
363,100%,150%,Medium,5,test
364,200%,0%,Medium,3,test
365,0%,25%,Large,0,test
366,100%,50%,Large,3,test
367,50%,200%,Medium,0,test
368,100%,200%,Medium,5,test
369,0%,200%,Large,0,test
370,25%,100%,Small,4,test
371,100%,25%,Large,5,test
372,100%,150%,Medium,1,test
373,25%,200%,Small,0,test
374,0%,25%,Medium,0,test
375,50%,100%,Small,0,test
376,50%,50%,Small,1,test
377,50%,25%,Small,2,test
378,150%,25%,Large,3,test
379,100%,50%,Small,5,test
380,25%,25%,Large,5,test
381,200%,25%,Small,1,test
382,150%,50%,Small,3,test
383,100%,100%,Small,3,test
384,0%,200%,Small,1,test
385,25%,100%,Large,1,test
386,0%,0%,Small,5,test
387,200%,150%,Small,0,test
388,50%,50%,Medium,2,test
389,25%,25%,Medium,2,test
390,150%,50%,Small,5,test
391,25%,150%,Medium,1,test
392,150%,25%,Medium,0,test
393,150%,0%,Medium,1,test
394,100%,200%,Large,5,test
395,150%,0%,Medium,2,test
396,50%,50%,Medium,1,test
397,150%,50%,Small,0,test
398,100%,150%,Small,3,test
399,25%,50%,Small,3,test
400,50%,200%,Medium,1,test
401,200%,25%,Small,2,test
402,200%,25%,Small,1,test
403,0%,0%,Medium,4,test
404,150%,150%,Medium,3,test
405,200%,150%,Medium,0,test
406,200%,150%,Medium,3,test
407,50%,50%,Medium,1,test
408,150%,100%,Medium,3,test
409,0%,0%,Large,2,test
410,200%,0%,Large,4,test
411,25%,100%,Large,0,test
412,50%,0%,Medium,2,test
413,50%,25%,Small,1,test
414,150%,200%,Small,1,test
415,25%,200%,Medium,5,test
416,25%,150%,Medium,2,test
417,25%,200%,Small,3,test
418,200%,0%,Large,0,test
419,150%,100%,Small,4,test
420,200%,100%,Small,1,test
421,150%,0%,Medium,2,test
422,25%,25%,Medium,3,test
423,200%,200%,Small,1,test
424,200%,25%,Medium,1,test
425,150%,25%,Medium,1,test
426,100%,100%,Small,3,test
427,200%,100%,Large,3,test
428,150%,100%,Small,3,test
429,25%,100%,Large,0,test
430,50%,0%,Small,3,test
431,25%,50%,Small,1,test
432,50%,0%,Medium,2,test
433,25%,0%,Large,3,test
434,200%,200%,Small,3,test
435,50%,150%,Large,1,test
436,150%,50%,Medium,2,test
437,25%,0%,Large,0,test
438,200%,25%,Medium,3,test
439,200%,100%,Small,1,test
440,150%,150%,Medium,1,test
441,0%,25%,Medium,3,test
442,0%,150%,Medium,2,test
443,150%,100%,Small,5,test
444,50%,100%,Medium,3,test
445,200%,25%,Large,4,test
446,0%,25%,Medium,0,test
447,150%,150%,Large,1,test
448,0%,50%,Small,3,test
449,0%,150%,Small,5,test
450,0%,200%,Small,5,test
451,150%,100%,Medium,1,test
452,100%,25%,Small,1,test
453,50%,100%,Small,0,test
454,25%,200%,Small,2,test
455,150%,25%,Small,0,test
456,0%,150%,Small,3,test
457,200%,50%,Small,3,test
458,25%,150%,Small,0,test
459,0%,100%,Large,1,test
460,150%,25%,Medium,0,test
461,100%,25%,Large,3,test
462,0%,50%,Small,3,test
463,150%,150%,Medium,4,test
464,50%,0%,Large,2,test
465,0%,100%,Medium,5,test
466,150%,0%,Small,3,test
467,100%,150%,Small,5,test
468,150%,50%,Small,5,test
469,50%,150%,Small,2,test
470,200%,50%,Small,3,test
471,0%,200%,Large,0,test
472,0%,200%,Small,3,test
473,150%,100%,Medium,5,test
474,0%,25%,Large,5,test
475,25%,100%,Large,3,test
476,200%,150%,Large,4,test
477,0%,200%,Medium,0,test
478,100%,200%,Medium,2,test
479,150%,100%,Medium,3,test
480,100%,100%,Medium,0,test
481,25%,50%,Medium,3,test
482,0%,25%,Medium,2,test
483,150%,200%,Small,5,test
484,0%,150%,Small,4,test
485,0%,50%,Medium,4,test
486,0%,25%,Small,0,test
487,100%,50%,Small,5,test
488,25%,200%,Large,5,test
489,200%,0%,Small,0,test
490,100%,150%,Large,3,test
491,50%,150%,Medium,4,test
492,25%,50%,Small,1,test
493,150%,50%,Medium,0,test
494,0%,50%,Medium,0,test
495,25%,150%,Large,4,test
496,200%,150%,Large,1,test
497,0%,100%,Medium,0,test
498,0%,50%,Small,5,test
499,0%,25%,Small,3,test
500,100%,50%,Large,0,test
501,150%,25%,Large,5,test
502,100%,25%,Small,0,test
503,150%,50%,Large,1,test
504,25%,150%,Medium,3,test
505,100%,0%,Medium,2,test
506,100%,200%,Medium,1,test
507,25%,150%,Medium,5,test
508,200%,200%,Medium,5,test
509,200%,150%,Small,2,test
510,50%,100%,Medium,1,test
511,200%,25%,Medium,3,test
512,150%,150%,Medium,2,test
513,150%,150%,Medium,2,test
514,25%,25%,Small,2,test
515,100%,0%,Large,1,test
516,25%,50%,Small,0,test
517,150%,50%,Medium,1,test
518,0%,25%,Large,4,test
519,200%,0%,Medium,0,test
520,0%,150%,Large,2,test
521,0%,200%,Small,4,test
522,0%,200%,Medium,5,test
523,100%,150%,Medium,3,test
524,50%,100%,Small,1,test
525,50%,100%,Medium,4,test
526,150%,25%,Large,3,test
527,200%,25%,Small,0,test
528,0%,50%,Medium,2,test
529,100%,0%,Large,0,test
530,200%,25%,Small,4,test
531,100%,150%,Small,2,test
532,25%,150%,Large,5,test
533,100%,100%,Small,5,test
534,100%,150%,Large,4,test
535,200%,150%,Large,4,test
536,200%,200%,Medium,2,test
537,0%,100%,Large,0,test
538,25%,150%,Large,1,test
539,25%,25%,Medium,4,test
540,100%,100%,Medium,5,test
541,100%,100%,Medium,5,test
542,100%,200%,Large,3,test
543,200%,50%,Medium,2,test
544,0%,100%,Medium,5,test
545,25%,50%,Small,3,test
546,25%,100%,Large,4,test
547,200%,100%,Small,4,test
548,0%,100%,Small,5,test
549,200%,0%,Large,1,test
550,200%,25%,Small,4,test
551,100%,50%,Large,3,test
552,150%,0%,Large,3,test
553,200%,0%,Large,2,test
554,150%,150%,Small,4,test
555,0%,100%,Small,1,test
556,50%,50%,Small,4,test
557,150%,0%,Small,5,test
558,150%,50%,Medium,5,test
559,50%,100%,Large,2,test
560,25%,100%,Large,0,test
561,150%,100%,Large,4,test
562,0%,50%,Large,1,test
563,200%,100%,Small,5,test
564,200%,200%,Small,4,test
565,200%,0%,Medium,0,test
566,150%,50%,Large,3,test
567,200%,200%,Large,2,test
568,0%,50%,Large,0,test
569,50%,200%,Large,3,test
570,25%,0%,Medium,5,test
571,25%,25%,Medium,2,test
572,100%,200%,Small,0,test
573,25%,150%,Large,0,test
574,100%,50%,Medium,1,test
575,25%,25%,Medium,4,test
576,150%,100%,Small,5,test
577,0%,25%,Large,4,test
578,150%,25%,Medium,1,test
579,0%,50%,Medium,2,test
580,0%,50%,Medium,4,test
581,100%,0%,Small,2,test
582,100%,200%,Large,3,test
583,150%,25%,Large,5,test
584,50%,200%,Small,0,test
585,0%,150%,Small,0,test
586,50%,0%,Medium,5,test
587,100%,200%,Small,2,test
588,100%,150%,Large,2,test
589,150%,200%,Large,2,test
590,0%,25%,Small,3,test
591,50%,100%,Medium,4,test
592,50%,25%,Large,4,test
593,0%,25%,Large,2,test
594,25%,0%,Medium,2,test
595,50%,50%,Medium,1,test
596,0%,100%,Small,3,test
597,0%,150%,Large,2,test
598,25%,50%,Small,0,test
599,150%,25%,Medium,1,test
600,200%,25%,Small,3,test
601,150%,150%,Medium,2,test
602,200%,100%,Small,5,test
603,150%,0%,Large,2,test
604,25%,150%,Medium,5,test
605,150%,100%,Medium,4,test
606,0%,25%,Large,3,test
607,200%,0%,Large,1,test
608,100%,150%,Medium,4,test
609,0%,150%,Large,4,test
610,100%,25%,Small,3,test
611,25%,50%,Medium,4,test
612,25%,100%,Large,4,test
613,100%,200%,Large,3,test
614,100%,100%,Large,0,test
615,0%,150%,Small,5,test
616,50%,150%,Small,1,test
617,100%,100%,Small,1,test
618,100%,0%,Medium,3,test
619,150%,100%,Large,2,test
620,200%,0%,Medium,3,test
621,200%,100%,Medium,3,test
622,150%,25%,Small,4,test
623,25%,50%,Medium,5,test
624,25%,50%,Medium,3,test
625,200%,100%,Medium,1,test
626,25%,50%,Medium,1,test
627,150%,0%,Medium,1,test
628,200%,100%,Large,2,test
629,100%,100%,Medium,4,test
630,0%,100%,Large,1,test
631,200%,50%,Medium,2,test
632,200%,0%,Small,5,test
633,100%,25%,Medium,0,test
634,150%,100%,Small,5,test
635,100%,150%,Medium,5,test
636,25%,50%,Medium,2,test
637,0%,150%,Medium,0,test
638,100%,200%,Large,1,test
639,100%,50%,Medium,4,test
640,50%,150%,Large,3,test
641,200%,100%,Large,3,test
642,150%,50%,Medium,3,test
643,150%,25%,Medium,4,test
644,50%,25%,Large,4,test
645,100%,200%,Small,1,test
646,50%,50%,Large,2,test
647,50%,25%,Small,3,test
648,0%,150%,Small,4,test
649,50%,50%,Large,3,test
650,150%,0%,Large,3,test
651,150%,100%,Medium,4,test
652,0%,50%,Medium,5,test
653,50%,100%,Small,3,test
654,200%,0%,Large,5,test
655,25%,0%,Medium,3,test
656,50%,200%,Medium,3,test
657,25%,0%,Medium,4,test
658,150%,50%,Small,4,test
659,50%,25%,Large,5,test
660,150%,50%,Small,4,test
661,25%,150%,Medium,1,test
662,25%,50%,Large,0,test
663,0%,100%,Medium,4,test
664,150%,25%,Small,0,test
665,50%,0%,Medium,2,test
666,100%,50%,Small,3,test
667,100%,0%,Large,4,test
668,50%,50%,Large,5,test
669,150%,25%,Small,3,test
670,200%,150%,Medium,1,test
671,100%,200%,Medium,3,test
672,25%,100%,Medium,3,test
673,25%,100%,Small,3,test
674,0%,100%,Small,0,test
675,100%,25%,Small,4,test
676,200%,200%,Small,4,test
677,50%,200%,Small,2,test
678,25%,50%,Large,2,test
679,100%,0%,Large,0,test
680,200%,150%,Large,1,test
681,0%,50%,Small,2,test
682,25%,0%,Large,2,test
683,100%,50%,Medium,2,test
684,200%,25%,Medium,2,test
685,200%,25%,Small,5,test
686,0%,200%,Large,1,test
687,150%,0%,Small,3,test
688,150%,0%,Medium,5,test
689,0%,50%,Small,0,test
690,200%,100%,Large,2,test
691,100%,150%,Large,1,test
692,200%,50%,Medium,3,test
693,25%,100%,Large,5,test
694,150%,100%,Large,3,test
695,100%,100%,Large,4,test
696,150%,200%,Small,1,test
697,100%,200%,Medium,1,test
698,25%,100%,Large,5,test
699,25%,50%,Large,1,test
700,150%,0%,Medium,1,test
701,0%,25%,Medium,0,test
702,50%,50%,Small,0,test
703,0%,0%,Small,5,test
704,0%,200%,Medium,3,test
705,100%,150%,Medium,1,test
706,100%,150%,Medium,3,test
707,200%,25%,Small,5,test
708,50%,100%,Small,3,test
709,50%,100%,Medium,2,test
710,0%,100%,Medium,2,test
711,0%,50%,Medium,1,test
712,150%,25%,Large,5,test
713,50%,50%,Large,0,test
714,50%,200%,Medium,1,test
715,100%,50%,Small,1,test
716,25%,200%,Large,0,test
717,0%,100%,Small,1,test
718,25%,25%,Large,5,test
719,50%,0%,Large,1,test
720,200%,200%,Medium,3,test
721,50%,100%,Medium,2,test
722,100%,100%,Large,5,test
723,150%,0%,Large,3,test
724,50%,25%,Large,0,test
725,150%,25%,Large,0,test
726,25%,200%,Small,2,test
727,50%,50%,Small,4,test
728,200%,0%,Small,5,test
729,25%,150%,Small,0,test
730,25%,200%,Large,4,test
731,25%,0%,Medium,1,test
732,200%,0%,Large,5,test
733,25%,200%,Medium,1,test
734,25%,150%,Large,0,test
735,25%,150%,Small,4,test
736,150%,100%,Medium,4,test
737,200%,25%,Medium,0,test
738,0%,150%,Small,0,test
739,50%,0%,Large,3,test
740,100%,50%,Medium,5,test
741,100%,200%,Medium,5,test
742,100%,0%,Medium,0,test
743,200%,25%,Large,4,test
744,25%,50%,Medium,0,test
745,0%,25%,Large,1,test
746,150%,100%,Large,2,test
747,50%,100%,Medium,5,test
748,200%,100%,Medium,2,test
749,100%,200%,Large,4,test
750,50%,150%,Large,4,test
751,100%,25%,Small,1,test
752,50%,100%,Small,0,test
753,50%,50%,Large,0,test
754,100%,0%,Medium,2,test
755,100%,100%,Medium,5,test
756,25%,100%,Small,5,test
757,25%,100%,Large,3,test
758,200%,200%,Small,1,test
759,50%,50%,Medium,1,test
760,25%,200%,Medium,2,test
761,200%,150%,Medium,0,test
762,100%,150%,Medium,5,test
763,200%,25%,Small,0,test
764,200%,50%,Medium,5,test
765,200%,25%,Large,4,test
766,100%,25%,Large,4,test
767,0%,50%,Small,5,test
768,50%,50%,Large,1,test
769,150%,200%,Small,4,test
770,200%,50%,Medium,4,test
771,100%,150%,Medium,2,test
772,25%,50%,Medium,0,test
773,50%,100%,Large,5,test
774,0%,50%,Medium,5,test
775,0%,150%,Small,3,test
776,150%,100%,Small,3,test
777,100%,0%,Medium,1,test
778,200%,100%,Large,1,test
779,100%,25%,Large,5,test
780,25%,150%,Small,1,test
781,200%,25%,Large,4,test
782,100%,50%,Small,0,test
783,100%,150%,Small,0,test
784,150%,200%,Medium,1,test
785,150%,150%,Large,4,test
786,25%,0%,Medium,2,test
787,50%,25%,Medium,4,test
788,25%,100%,Large,0,test
789,50%,100%,Medium,0,test
790,0%,100%,Medium,3,test
791,25%,100%,Medium,2,test
792,150%,25%,Small,4,test
793,200%,0%,Medium,1,test
794,150%,100%,Small,4,test
795,50%,200%,Small,1,test
796,100%,50%,Small,0,test
797,50%,50%,Large,0,test
798,0%,100%,Large,4,test
799,100%,200%,Large,0,test
800,50%,50%,Small,1,test
801,50%,150%,Medium,5,test
802,150%,200%,Small,5,test
803,0%,200%,Medium,1,test
804,100%,200%,Large,2,test
805,25%,50%,Large,1,test
806,0%,25%,Large,5,test
807,150%,200%,Small,3,test
808,200%,100%,Small,2,test
809,100%,150%,Medium,4,test
810,25%,50%,Small,2,test
811,150%,25%,Small,0,test
812,0%,25%,Small,3,test
813,0%,25%,Large,3,test
814,150%,150%,Large,0,test
815,200%,150%,Large,2,test
816,150%,25%,Medium,4,test
817,25%,150%,Large,3,test
818,0%,25%,Large,0,test
819,25%,25%,Large,0,test
820,25%,50%,Medium,0,test
821,200%,0%,Medium,4,test
822,50%,0%,Large,0,test
823,200%,100%,Large,2,test
824,150%,50%,Small,1,test
825,0%,200%,Medium,1,test
826,150%,100%,Small,5,test
827,100%,25%,Medium,5,test
828,150%,0%,Small,3,test
829,200%,100%,Large,2,test
830,25%,100%,Medium,4,test
831,150%,0%,Small,0,test
832,100%,150%,Small,3,test
833,25%,150%,Small,3,test
834,25%,150%,Medium,5,test
835,0%,100%,Medium,5,test
836,0%,200%,Large,4,test
837,100%,25%,Small,4,test
838,0%,0%,Medium,2,test
839,150%,150%,Large,1,test
840,50%,100%,Small,0,test
841,25%,200%,Small,4,test
842,25%,150%,Medium,3,test
843,150%,0%,Large,2,test
844,50%,25%,Large,4,test
845,150%,50%,Small,3,test
846,200%,100%,Small,1,test
847,100%,0%,Large,2,test
848,200%,50%,Large,4,test
849,150%,50%,Small,4,test
850,100%,150%,Large,0,test
851,0%,100%,Large,1,test
852,150%,100%,Medium,3,test
853,100%,200%,Large,5,test
854,50%,50%,Small,0,test
855,0%,100%,Medium,1,test
856,0%,150%,Large,5,test
857,0%,0%,Medium,3,test
858,50%,200%,Small,4,test
859,25%,200%,Large,1,test
860,25%,150%,Medium,2,test
861,100%,100%,Large,3,test
862,200%,150%,Large,4,test
863,150%,25%,Small,2,test
864,25%,150%,Small,0,test
865,50%,25%,Medium,4,test
866,200%,50%,Medium,2,test
867,150%,100%,Medium,3,test
868,150%,50%,Large,0,test
869,25%,50%,Medium,1,test
870,25%,0%,Medium,0,test
871,200%,100%,Large,5,test
872,50%,100%,Medium,2,test
873,150%,25%,Medium,5,test
874,100%,25%,Large,2,test
875,200%,100%,Medium,5,test
876,150%,50%,Small,1,test
877,50%,50%,Small,2,test
878,200%,200%,Small,4,test
879,150%,100%,Large,1,test
880,25%,100%,Large,0,test
881,50%,25%,Medium,3,test
882,100%,0%,Small,3,test
883,0%,50%,Large,0,test
884,25%,200%,Large,2,test
885,50%,0%,Large,4,test
886,50%,150%,Large,1,test
887,150%,100%,Large,0,test
888,50%,25%,Small,4,test
889,150%,200%,Medium,2,test
890,100%,200%,Small,4,test
891,200%,0%,Medium,1,test
892,200%,50%,Large,2,test
893,50%,150%,Medium,5,test
894,50%,25%,Small,0,test
895,50%,150%,Medium,1,test
896,100%,0%,Small,4,test
897,25%,200%,Medium,5,test
898,0%,0%,Medium,1,test
899,150%,200%,Large,2,test
900,100%,100%,Small,5,test
901,0%,0%,Medium,3,test
902,200%,0%,Medium,0,test
903,100%,0%,Large,3,test
904,25%,0%,Small,4,test
905,100%,200%,Large,3,test
906,50%,200%,Large,2,test
907,100%,100%,Large,3,test
908,200%,150%,Medium,0,test
